lat,lon,認可施設.事業所等名,利用定員,所在地,電話番号,公私,設置主体,施設の類型,開設時間.平日.,受入可能年齢,特別保育の実施状況
35.174858,136.938161,内山保育園,156,愛知県名古屋市千種区豊年町15,711-0995,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育,一時保育
NA,NA,東山保育園,100,愛知県名古屋市千種区橋本町3,781-2515,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.185534,136.970189,汁谷保育園,90,愛知県名古屋市千種区汁谷町39,711-2460,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.16231,136.987289,星ヶ丘保育園,90,愛知県名古屋市千種区星ケ丘一丁目23,781-6275,公立,名古屋市,保育所,午前7時30分から午後7時30分,産休あけから5歳,延長保育
35.181156,136.946193,北千種保育園,90,愛知県名古屋市千種区北千種二丁目1,722-4185,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.183509,136.980976,宮根保育園,90,愛知県名古屋市千種区宮根台二丁目9,773-2823,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.177614,136.938859,都保育園,90,愛知県名古屋市千種区豊年町3,721-9934,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,春里保育園,90,愛知県名古屋市千種区春里町2,762-3820,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
35.188002,136.971014,千代田橋保育園,90,愛知県名古屋市千種区千代田橋二丁目5,723-2775,公立,名古屋市,保育所,午前7時30分から午後7時30分,6ヶ月から5歳,延長保育
NA,NA,千草保育園,175,愛知県名古屋市千種区下方町3,722-2648,私立,社会福祉法人,幼保連携型認定こども園,午前7時00分から午後7時00分,産休あけから5歳,延長保育,一時保育,子育て支援センター,入所予約
NA,NA,富士見の森こども園,63,愛知県名古屋市千種区富士見台1,712-3737,私立,社会福祉法人,幼保連携型認定こども園,午前7時15分から午後7時15分,産休あけから5歳,延長保育
35.153376,136.96843,どんぐり保育園,90,愛知県名古屋市千種区仁座町120,782-1210,私立,社会福祉法人,保育所,午前7時15分から午後8時15分,産休あけから5歳,延長保育,子育て支援センター,入所予約
NA,NA,光明幼児園,130,愛知県名古屋市千種区桐林町1,761-5753,私立,社会福祉法人,保育所,午前7時15分から午後7時15分,産休あけから5歳,延長保育,入所予約
35.163801,136.939108,春岡保育園,80,愛知県名古屋市千種区今池南12,731-8788,私立,社会福祉法人,保育所,午前7時45分から午後7時45分,産休あけから5歳,延長保育
NA,NA,新池保育園,30,愛知県名古屋市千種区新池町4,782-5455,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから2歳,延長保育,休日保育
35.163801,136.939108,春岡夜間保育園,30,愛知県名古屋市千種区今池南12,733-9131,私立,社会福祉法人,保育所,午前11時00分から午前1時00分,産休あけから5歳,延長保育,夜間保育
NA,NA,田代保育園,36,愛知県名古屋市千種区山添町1,762-2602,私立,社会福祉法人,保育所,午前7時15分から午後9時15分,産休あけから2歳,延長保育
NA,NA,希望ヶ丘保育園,138,愛知県名古屋市千種区希望ヶ丘二丁目3,751-5050,私立,社会福祉法人,保育所,午前7時00分から午後7時00分,産休あけから5歳,延長保育,一時保育,子育て支援センター,入所予約
35.182647,136.949039,清明山保育園,54,愛知県名古屋市千種区清明山一丁目1,725-7258,私立,社会福祉法人,保育所,午前7時15分から午後8時15分,産休あけから3歳,延長保育
