"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"USD/JPY adds 20 pips in Asia as T-yields rise By @godbole17 h ps://t.co/niJq5Plt9A #USDJPY #YieldCurve",FALSE,0,NA,2017-12-18 00:27:30,FALSE,NA,942551863882407936,NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",0,FALSE,FALSE,NA,NA
"Wha o expec from oday's Aus Federal budge mid-year update? - Westpac By @IvoFX13 h ps://t.co/pH67dZMdv1 #Australia #Banks",FALSE,0,NA,2017-12-17 23:49:27,FALSE,NA,942542287074099200,NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",0,FALSE,FALSE,NA,NA
"CME officially launches Bitcoin futures rading By @IvoFX13 h ps://t.co/0xKEZvaOph #Bitcoin",FALSE,1,NA,2017-12-17 23:25:19,FALSE,NA,942536211964579840,NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",2,FALSE,FALSE,NA,NA
"US ax reform: Lates developments in Washington - Nomura By @IvoFX13 h ps://t.co/e67Q3GorMf #UnitedStates #Banks",FALSE,1,NA,2017-12-17 23:03:39,FALSE,NA,942530760564600832,NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",0,FALSE,FALSE,NA,NA
"This week's key data in he US and Europe - ING By @IvoFX13 h ps://t.co/FxrmgSqDlL #Banks #UnitedStates",FALSE,0,NA,2017-12-17 22:55:35,FALSE,NA,942528729569484800,NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",1,FALSE,FALSE,NA,NA
"BoC's Poloz plays down forward guidance into 2018 By @IvoFX13 h ps://t.co/zsaBuQv6Sd #BOC",FALSE,0,NA,2017-12-17 22:32:09,FALSE,NA,942522835335041024,NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",0,FALSE,FALSE,NA,NA
"Wha o expec from his week's US economic data? - Nomura By @IvoFX13 h ps://t.co/qgEGhPiBtT #UnitedStates #Banks",FALSE,0,NA,2017-12-17 22:16:44,FALSE,NA,942518953011826688,NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",0,FALSE,FALSE,NA,NA
"Sustained period of negative Aus-US rate spreads - Westpac By @IvoFX13 h ps://t.co/Az705sfBFr #AUDUSD #Banks",FALSE,0,NA,2017-12-17 22:07:27,FALSE,NA,942516617300381696,NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",0,FALSE,FALSE,NA,NA
"EUR/JPY: he long-term consolidative stage will likely extend into he firs quarter of 2018 h ps://t.co/eUBCUvyHeE h ps://t.co/ODPehBuXgP",FALSE,3,NA,2017-12-17 13:00:46,FALSE,NA,942379038596792320,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",1,FALSE,FALSE,NA,NA
"AUD/USD: he pair is seen rising from now on with 0.8000 coming back a sigh in he longer-term perspective h ps://t.co/nOjViiKSDT",FALSE,4,NA,2017-12-17 06:00:20,TRUE,NA,942273235596570624,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",2,FALSE,FALSE,NA,NA
"USD/JPY: bearish his week, bullish afterward. However, he critical 114.40 level is now far away, with he 3-month h ps://t.co/YSiJBwPWVF",FALSE,3,NA,2017-12-16 23:00:41,TRUE,NA,942167627912368128,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",0,FALSE,FALSE,NA,NA
"GBP/USD: sentimen favors he Pound, a leas for a month, bu Brexi uncertainty undermines he positive outlook h ps://t.co/cNHaQy4klG",FALSE,10,NA,2017-12-16 13:00:58,TRUE,NA,942016701499150336,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",2,FALSE,FALSE,NA,NA
"EUR/USD: pair seen li le changed from here, particularly after central banks failed o rigger action h ps://t.co/i9cskwFOAv",FALSE,3,NA,2017-12-16 06:00:26,TRUE,NA,941910872154353664,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",7,FALSE,FALSE,NA,NA
