"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Peston K",FALSE,0,"Peston",2017-12-18 00:05:56,FALSE,"942546138468700162","942546435689431040","14157134","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForexLive",0,FALSE,FALSE,NA,NA
"New Zealand - ANZ consumer confidence for December: -1.5% m/m (prior -2.1%) https://t.co/6QeoiBuMlD",FALSE,0,NA,2017-12-18 00:00:11,FALSE,NA,"942544987052486659",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"BOJ Tankan survey for Q4 - price expectations out now  https://t.co/s3jqvyWprT",FALSE,0,NA,2017-12-17 23:56:52,FALSE,NA,"942544152843218944",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Japan Nov. Trade balance: Y 113.4bn (vs. expected Y -40bn) https://t.co/mtkOlOWyIw",FALSE,2,NA,2017-12-17 23:50:17,FALSE,NA,"942542495333969920",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"China press: PBOC does not need to follow Fed in raising interest rates https://t.co/jUBnDcxpXm",FALSE,1,NA,2017-12-17 23:20:58,FALSE,NA,"942535120342396933",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",3,FALSE,FALSE,NA,NA
"It's a new week, it must be tie for a new bitcoin price surge https://t.co/d9TKQ0nqLZ",FALSE,2,NA,2017-12-17 23:06:06,FALSE,NA,"942531379434262528",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"Japan press: Japanese pension fund shouldering costs of BOJ's negative rate https://t.co/91ddJfm82w",FALSE,5,NA,2017-12-17 22:52:56,FALSE,NA,"942528065938296832",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",3,FALSE,FALSE,NA,NA
"New Zealand data this week - Q4 GDP - preview https://t.co/VSV8yORKZY",FALSE,3,NA,2017-12-17 22:30:53,FALSE,NA,"942522513371824129",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Westpac on the NZD - look for a fall to 0.67 https://t.co/cenJW00F6E",FALSE,2,NA,2017-12-17 22:06:56,FALSE,NA,"942516487725699078",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Trade ideas thread - Monday 18 December 2017  https://t.co/UcJTGBxIo2",FALSE,0,NA,2017-12-17 21:48:31,FALSE,NA,"942511853531475968",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"New Zealand data - November services PMI 56.4 (prior 55.7, revised from 55.6) https://t.co/uoACRwzoB7",FALSE,2,NA,2017-12-17 21:36:34,FALSE,NA,"942508845607342081",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
"Australian mid-year budget update due today - the headline to watch  https://t.co/taOb6jg6E1",FALSE,1,NA,2017-12-17 21:33:28,FALSE,NA,"942508066100207617",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"UK - PM May writes in the weekend press she is getting on with the job of Brexit  https://t.co/7zbXH8hoqG",FALSE,5,NA,2017-12-17 21:16:31,FALSE,NA,"942503800409088000",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"Economic calendar due from Asia today  https://t.co/WtXFYWJI9J",FALSE,0,NA,2017-12-17 21:04:48,FALSE,NA,"942500853398851585",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"FX early indications as the week kicks off https://t.co/UAi8btKaZs",FALSE,10,NA,2017-12-17 19:44:39,FALSE,NA,"942480682307215361",NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
