"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Keely Smith, a pop and jazz singer known for her solo recordings of jazz standards,  has died of apparent heart fai… https://t.co/inDctvX9El",FALSE,21,NA,2017-12-18 00:25:02,TRUE,NA,"942551243767074816",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",15,FALSE,FALSE,NA,NA
"Gene Simmons said he intends ""to defend myself against any alleged charges you may have been reading about in the m… https://t.co/Jka5uRlFD6",FALSE,38,NA,2017-12-17 23:55:02,TRUE,NA,"942543693537579008",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",28,FALSE,FALSE,NA,NA
"50 stories from 50 states: the big news, the best investigations and the moments we can't stop talking about this y… https://t.co/C2PeKgVeth",FALSE,12,NA,2017-12-17 23:30:09,TRUE,NA,"942537428119773184",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",8,FALSE,FALSE,NA,NA
"Report: Sen. John McCain will return to Arizona, miss vote on tax bill https://t.co/3dHim8y6SZ",FALSE,45,NA,2017-12-17 23:00:44,FALSE,NA,"942530025873534976",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",29,FALSE,FALSE,NA,NA
"Trump calls investigation into transition emails 'very sad,' but says he won't fire Mueller https://t.co/bAVR99oWL7",FALSE,28,NA,2017-12-17 23:00:43,FALSE,NA,"942530021939281920",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",24,FALSE,FALSE,NA,NA
"Trump on transition emails: ""I can’t imagine there’s anything on them, frankly, because as we said, there’s no coll… https://t.co/2xGLHh0m0B",FALSE,76,NA,2017-12-17 22:51:06,TRUE,NA,"942527603935727619",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","USATODAY",51,FALSE,FALSE,NA,NA
"Sen. John McCain will return to Arizona, miss vote on tax bill https://t.co/MA63qLS25s",FALSE,80,NA,2017-12-17 22:30:17,FALSE,NA,"942522363555409921",NA,"<a href=""http://www.usatoday.com"" rel=""nofollow"">USA TODAY Breaking News</a>","USATODAY",44,FALSE,FALSE,NA,NA
".@MeghanMcCain urged people feeling charitable for the holidays ""to help find a cure for brain cancer."" https://t.co/OybC9z9hnN",FALSE,118,NA,2017-12-17 22:20:49,FALSE,NA,"942519983489286144",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","USATODAY",43,FALSE,FALSE,NA,NA
"Six nights in and still going strong: Happy sixth night of Hanukkah! https://t.co/6cUc7y71wx",FALSE,110,NA,2017-12-17 22:20:07,FALSE,NA,"942519804145094657",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",57,FALSE,FALSE,NA,NA
"A major power outage has halted air traffic at Hartsfield-Jackson Atlanta International Airport, the world's busies… https://t.co/Fmz8q3icL1",FALSE,80,NA,2017-12-17 22:18:08,TRUE,NA,"942519308474863617",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","USATODAY",176,FALSE,FALSE,NA,NA
"That's a steal. https://t.co/NEbjYBuDf4",FALSE,60,NA,2017-12-17 21:40:07,FALSE,NA,"942509739996524545",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",16,FALSE,FALSE,NA,NA
"'Saturday Night Fever' was released 40 years ago today, and our love for it is still deep. https://t.co/T956NvBufP",FALSE,252,NA,2017-12-17 21:20:04,FALSE,NA,"942504694412382209",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",88,FALSE,FALSE,NA,NA
"Power outage suspends flights at Atlanta airport https://t.co/JrzvGzWyDI",FALSE,25,NA,2017-12-17 21:00:07,FALSE,NA,"942499671699685377",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",21,FALSE,FALSE,NA,NA
"MSNBC’s Chris Matthews reprimanded over inappropriate comments about woman in 1999 https://t.co/tN0CnBFLeJ",FALSE,24,NA,2017-12-17 21:00:05,FALSE,NA,"942499664443555840",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",20,FALSE,FALSE,NA,NA
"Remembering my dad’s love for life, after he passed on Christmas day 14 years ago. https://t.co/4AiQ9dN4k1",FALSE,37,NA,2017-12-17 20:20:03,FALSE,NA,"942489588794363904",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",8,FALSE,FALSE,NA,NA
"Power outage at Atlanta’s international airport grounds flights https://t.co/rjVUTCF9Kq",FALSE,14,NA,2017-12-17 20:05:39,FALSE,NA,"942485966417149952",NA,"<a href=""http://www.usatoday.com"" rel=""nofollow"">USA TODAY Breaking News</a>","USATODAY",32,FALSE,FALSE,NA,NA
"What will life be like for LiAngelo, LaMelo? Lithuanian league players share their experience. https://t.co/30919BYdkE",FALSE,13,NA,2017-12-17 19:20:04,FALSE,NA,"942474493070626816",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",5,FALSE,FALSE,NA,NA
"These seven words are banned from official CDC documents. https://t.co/PXTjaVcTwS",FALSE,48,NA,2017-12-17 19:10:06,FALSE,NA,"942471985757646848",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",46,FALSE,FALSE,NA,NA
"'Star Wars: The Last Jedi' explodes with $220M, the second-best opening ever https://t.co/XhKf7ie0Jj",FALSE,109,NA,2017-12-17 18:58:09,FALSE,NA,"942468977812324352",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",45,FALSE,FALSE,NA,NA
"Putin thanked Trump for CIA tip on bombings, Kremlin and White House say https://t.co/3B2UyyP4ld",FALSE,52,NA,2017-12-17 18:58:07,FALSE,NA,"942468972544368640",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",41,FALSE,FALSE,NA,NA
"""Man flu"" is now a thing. We’re not so sure about it . https://t.co/RRSxLgGiiJ",FALSE,37,NA,2017-12-17 18:20:04,FALSE,NA,"942459393190383621",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",16,FALSE,FALSE,NA,NA
"Putin called Trump to thank him for CIA tip that thwarted bombings in Russia, the Kremlin and White House say https://t.co/aqhO0mNR7M",FALSE,139,NA,2017-12-17 17:43:09,FALSE,NA,"942450106426519554",NA,"<a href=""http://www.usatoday.com"" rel=""nofollow"">USA TODAY Breaking News</a>","USATODAY",81,FALSE,FALSE,NA,NA
"Thanks, but no thanks. https://t.co/hvkgBuxwJb",FALSE,155,NA,2017-12-17 17:40:08,FALSE,NA,"942449347010187265",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",65,FALSE,FALSE,NA,NA
"Hundreds get sick on Royal Caribbean cruise — again https://t.co/pF1DQynYNT",FALSE,51,NA,2017-12-17 16:54:53,FALSE,NA,"942437957025243141",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",45,FALSE,FALSE,NA,NA
"Bengals coach Marvin Lewis won't return next year https://t.co/5dOjwiXUqp",FALSE,27,NA,2017-12-17 16:54:51,FALSE,NA,"942437951421554688",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",14,FALSE,FALSE,NA,NA
"Cincinnati Bengals coach Marvin Lewis won't return to coach team next season https://t.co/lyK9ncj8L5",FALSE,31,NA,2017-12-17 15:36:50,FALSE,NA,"942418315871379456",NA,"<a href=""http://www.usatoday.com"" rel=""nofollow"">USA TODAY Breaking News</a>","USATODAY",18,FALSE,FALSE,NA,NA
"Chevrolet unveils 2019 Silverado pickup -- and it's all about steel https://t.co/tHw0dApeET",FALSE,51,NA,2017-12-17 14:54:05,FALSE,NA,"942407555971612672",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",16,FALSE,FALSE,NA,NA
"Surprised? https://t.co/cIPDIJpMEn",FALSE,47,NA,2017-12-17 13:40:06,FALSE,NA,"942388939553476608",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",25,FALSE,FALSE,NA,NA
"The Thomas Fire is now the second largest in California history. The cost of fighting the fire now stands at $110 m… https://t.co/abHOy8L9EO",FALSE,53,NA,2017-12-17 13:00:33,TRUE,NA,"942378984771289088",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",78,FALSE,FALSE,NA,NA
"How white nationalists tapped into decades of pent-up racism to spark a movement https://t.co/qPQnC6o65G",FALSE,76,NA,2017-12-17 12:54:05,FALSE,NA,"942377358211694592",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",64,FALSE,FALSE,NA,NA
"Social media blasts Kevin Hart's 'sexist' 'Saturday Night Live' monologue https://t.co/ussLRousvM",FALSE,74,NA,2017-12-17 12:54:03,FALSE,NA,"942377350439694337",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",30,FALSE,FALSE,NA,NA
