"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Keely Smith, a pop and jazz singer known for her solo recordings of jazz standards, has died of apparen hear fai h ps://t.co/inDctvX9El",FALSE,21,NA,2017-12-18 00:25:02,TRUE,NA,942551243767074816,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",15,FALSE,FALSE,NA,NA
"Gene Simmons said he intends ""to defend myself agains any alleged charges you may have been reading abou in he m h ps://t.co/Jka5uRlFD6",FALSE,38,NA,2017-12-17 23:55:02,TRUE,NA,942543693537579008,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",28,FALSE,FALSE,NA,NA
"50 stories from 50 states: he big news, he bes investigations and he moments we can' stop alking abou his y h ps://t.co/C2PeKgVeth",FALSE,12,NA,2017-12-17 23:30:09,TRUE,NA,942537428119773184,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",8,FALSE,FALSE,NA,NA
"Report: Sen. John McCain will return o Arizona, miss vote on ax bill h ps://t.co/3dHim8y6SZ",FALSE,45,NA,2017-12-17 23:00:44,FALSE,NA,942530025873534976,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",29,FALSE,FALSE,NA,NA
"Trump calls investigation into ransition emails 'very sad,' bu says he won' fire Mueller h ps://t.co/bAVR99oWL7",FALSE,28,NA,2017-12-17 23:00:43,FALSE,NA,942530021939281920,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",24,FALSE,FALSE,NA,NA
"Trump on ransition emails: ""I can imagine heres anything on hem, frankly, because as we said, heres no coll h ps://t.co/2xGLHh0m0B",FALSE,76,NA,2017-12-17 22:51:06,TRUE,NA,942527603935727616,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","USATODAY",51,FALSE,FALSE,NA,NA
"Sen. John McCain will return o Arizona, miss vote on ax bill h ps://t.co/MA63qLS25s",FALSE,80,NA,2017-12-17 22:30:17,FALSE,NA,942522363555409920,NA,"<a href=""http://www.usatoday.com"" rel=""nofollow"">USA TODAY Breaking News</a>","USATODAY",44,FALSE,FALSE,NA,NA
".@MeghanMcCain urged people feeling charitable for he holidays ""to help find a cure for brain cancer."" h ps://t.co/OybC9z9hnN",FALSE,118,NA,2017-12-17 22:20:49,FALSE,NA,942519983489286144,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","USATODAY",43,FALSE,FALSE,NA,NA
"Six nights in and still going strong: Happy sixth nigh of Hanukkah! h ps://t.co/6cUc7y71wx",FALSE,110,NA,2017-12-17 22:20:07,FALSE,NA,942519804145094656,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",57,FALSE,FALSE,NA,NA
"A major power outage has halted air raffic a Hartsfield-Jackson Atlanta International Airport, he world's busies h ps://t.co/Fmz8q3icL1",FALSE,80,NA,2017-12-17 22:18:08,TRUE,NA,942519308474863616,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","USATODAY",176,FALSE,FALSE,NA,NA
"That's a steal. h ps://t.co/NEbjYBuDf4",FALSE,60,NA,2017-12-17 21:40:07,FALSE,NA,942509739996524544,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",16,FALSE,FALSE,NA,NA
"'Saturday Nigh Fever' was released 40 years ago oday, and our love for i is still deep. h ps://t.co/T956NvBufP",FALSE,252,NA,2017-12-17 21:20:04,FALSE,NA,942504694412382208,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",88,FALSE,FALSE,NA,NA
"Power outage suspends flights a Atlanta airpor h ps://t.co/JrzvGzWyDI",FALSE,25,NA,2017-12-17 21:00:07,FALSE,NA,942499671699685376,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",21,FALSE,FALSE,NA,NA
"MSNBCs Chris Ma hews reprimanded over inappropriate comments abou woman in 1999 h ps://t.co/tN0CnBFLeJ",FALSE,24,NA,2017-12-17 21:00:05,FALSE,NA,942499664443555840,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",20,FALSE,FALSE,NA,NA
"Remembering my dads love for life, after he passed on Christmas day 14 years ago. h ps://t.co/4AiQ9dN4k1",FALSE,37,NA,2017-12-17 20:20:03,FALSE,NA,942489588794363904,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",8,FALSE,FALSE,NA,NA
"Power outage a Atlantas international airpor grounds flights h ps://t.co/rjVUTCF9Kq",FALSE,14,NA,2017-12-17 20:05:39,FALSE,NA,942485966417149952,NA,"<a href=""http://www.usatoday.com"" rel=""nofollow"">USA TODAY Breaking News</a>","USATODAY",32,FALSE,FALSE,NA,NA
"Wha will life be like for LiAngelo, LaMelo? Lithuanian league players share heir experience. h ps://t.co/30919BYdkE",FALSE,13,NA,2017-12-17 19:20:04,FALSE,NA,942474493070626816,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",5,FALSE,FALSE,NA,NA
"These seven words are banned from official CDC documents. h ps://t.co/PXTjaVcTwS",FALSE,48,NA,2017-12-17 19:10:06,FALSE,NA,942471985757646848,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",46,FALSE,FALSE,NA,NA
"'Star Wars: The Las Jedi' explodes with $220M, he second-bes opening ever h ps://t.co/XhKf7ie0Jj",FALSE,109,NA,2017-12-17 18:58:09,FALSE,NA,942468977812324352,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",45,FALSE,FALSE,NA,NA
"Putin hanked Trump for CIA ip on bombings, Kremlin and White House say h ps://t.co/3B2UyyP4ld",FALSE,52,NA,2017-12-17 18:58:07,FALSE,NA,942468972544368640,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",41,FALSE,FALSE,NA,NA
"""Man flu"" is now a hing. Were no so sure abou i . h ps://t.co/RRSxLgGiiJ",FALSE,37,NA,2017-12-17 18:20:04,FALSE,NA,942459393190383616,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",16,FALSE,FALSE,NA,NA
"Putin called Trump o hank him for CIA ip ha hwarted bombings in Russia, he Kremlin and White House say h ps://t.co/aqhO0mNR7M",FALSE,139,NA,2017-12-17 17:43:09,FALSE,NA,942450106426519552,NA,"<a href=""http://www.usatoday.com"" rel=""nofollow"">USA TODAY Breaking News</a>","USATODAY",81,FALSE,FALSE,NA,NA
"Thanks, bu no hanks. h ps://t.co/hvkgBuxwJb",FALSE,155,NA,2017-12-17 17:40:08,FALSE,NA,942449347010187264,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",65,FALSE,FALSE,NA,NA
"Hundreds ge sick on Royal Caribbean cruise again h ps://t.co/pF1DQynYNT",FALSE,51,NA,2017-12-17 16:54:53,FALSE,NA,942437957025243136,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",45,FALSE,FALSE,NA,NA
"Bengals coach Marvin Lewis won' return nex year h ps://t.co/5dOjwiXUqp",FALSE,27,NA,2017-12-17 16:54:51,FALSE,NA,942437951421554688,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",14,FALSE,FALSE,NA,NA
"Cincinnati Bengals coach Marvin Lewis won' return o coach eam nex season h ps://t.co/lyK9ncj8L5",FALSE,31,NA,2017-12-17 15:36:50,FALSE,NA,942418315871379456,NA,"<a href=""http://www.usatoday.com"" rel=""nofollow"">USA TODAY Breaking News</a>","USATODAY",18,FALSE,FALSE,NA,NA
"Chevrole unveils 2019 Silverado pickup -- and it's all abou steel h ps://t.co/tHw0dApeET",FALSE,51,NA,2017-12-17 14:54:05,FALSE,NA,942407555971612672,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",16,FALSE,FALSE,NA,NA
