"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"EUR/JPY: the long-term consolidative stage will likely extend into the first quarter of 2018 https://t.co/eUBCUvyHeE https://t.co/ODPehBuXgP",FALSE,3,NA,2017-12-17 13:00:46,FALSE,NA,"942379038596792321",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",1,FALSE,FALSE,NA,NA
"AUD/USD: the pair is seen rising from now on with 0.8000 coming back at sight in the longer-term perspective… https://t.co/nOjViiKSDT",FALSE,4,NA,2017-12-17 06:00:20,TRUE,NA,"942273235596570624",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",2,FALSE,FALSE,NA,NA
"USD/JPY: bearish this week, bullish afterward. However, the critical 114.40 level is now far away, with the 3-month… https://t.co/YSiJBwPWVF",FALSE,3,NA,2017-12-16 23:00:41,TRUE,NA,"942167627912368133",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",0,FALSE,FALSE,NA,NA
"GBP/USD: sentiment favors the Pound, at least for a month, but Brexit uncertainty undermines the positive outlook… https://t.co/cNHaQy4klG",FALSE,10,NA,2017-12-16 13:00:58,TRUE,NA,"942016701499150336",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",2,FALSE,FALSE,NA,NA
"EUR/USD: pair seen little changed from here, particularly after central banks failed to trigger action… https://t.co/i9cskwFOAv",FALSE,3,NA,2017-12-16 06:00:26,TRUE,NA,"941910872154353665",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",7,FALSE,FALSE,NA,NA
"GBP/USD Forecast: Bitter-sweet victory in Brexit negotiations brings the pre-Christmas Sterling lower… https://t.co/ANhPB0rUzZ",FALSE,3,NA,2017-12-15 22:01:03,TRUE,NA,"941790229572308993",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",1,FALSE,FALSE,NA,NA
"Fitch upgrades Portugal to 'BBB'; outlook stable - Reuters https://t.co/QC63P0XRBw #Portugal",FALSE,3,NA,2017-12-15 21:19:52,FALSE,NA,"941779867154239488",NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",2,FALSE,FALSE,NA,NA
"Fitch upgrades Ireland to 'A+'; outlook stable - Reuters https://t.co/oggwT0l3Vw #Ireland",FALSE,3,NA,2017-12-15 21:16:34,FALSE,NA,"941779037051129856",NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",1,FALSE,FALSE,NA,NA
"EUR/USD Forecast: central banks couldn't move the pair, but political woes will https://t.co/JZ8Eu7EbXo https://t.co/vJzjNIZ46n",FALSE,1,NA,2017-12-15 21:01:15,FALSE,NA,"941775182754189312",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FXstreetNews",1,FALSE,FALSE,NA,NA
"Wall Street surges to recrond highs as tax bill approaches the finish line https://t.co/sho5uPo148 #Equities #DowJones #Nasdaq #SP500",FALSE,2,NA,2017-12-15 20:40:02,FALSE,NA,"941769842142662656",NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",1,FALSE,FALSE,NA,NA
"Canada: Economic growth remains intact - Wells Fargo https://t.co/sNdvXDl6kM #Canada #USDCAD #Banks",FALSE,0,NA,2017-12-15 20:27:09,FALSE,NA,"941766600985890821",NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com</a>","FXstreetNews",0,FALSE,FALSE,NA,NA
