"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Poloz is ired of forward guidance, wants markets o be uncertain h ps://t.co/EmJvtmZbJb",FALSE,3,NA,2017-12-17 17:14:17,FALSE,NA,942442838914105344,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Senate Republican Cornyn: ""I am confiden will pass his bill, probably on Tuesday."" h ps://t.co/7Jpwu15JAV",FALSE,8,NA,2017-12-17 16:42:28,FALSE,NA,942434834797928448,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",6,FALSE,FALSE,NA,NA
"New Austria government: You can have referendums, bu no on EU membership h ps://t.co/hSEBJt3POq",FALSE,3,NA,2017-12-16 22:51:07,FALSE,NA,942165219375304704,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"CSX CEO Hunter Harrison dies h ps://t.co/kjtfhomCnE",FALSE,3,NA,2017-12-16 22:45:18,FALSE,NA,942163754967592960,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"Forexlive America FX news wrap: Tax reform votes star o line up h ps://t.co/3FGI73WUea",FALSE,5,NA,2017-12-15 22:06:09,FALSE,NA,941791516061786112,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",3,FALSE,FALSE,NA,NA
"US stocks end he session with strong gains. Record closes for he all he indices h ps://t.co/mP3Hg7jc6o",FALSE,2,NA,2017-12-15 21:09:33,FALSE,NA,941777270955499520,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",4,FALSE,FALSE,NA,NA
"CFTC commitmen of raders: EUR longs he highes since May 2007 h ps://t.co/xhB4wrFFI4",FALSE,8,NA,2017-12-15 20:46:51,FALSE,NA,941771558577680384,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",2,FALSE,FALSE,NA,NA
"Republican Senator Corker o vote ""Yes"" for he ax bill h ps://t.co/gW03vjO7JL",FALSE,0,NA,2017-12-15 20:29:41,FALSE,NA,941767236490072064,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"It's Friday, ha means he commitmen of raders repor will be coming ou h ps://t.co/oZdqb0ByaJ",FALSE,2,NA,2017-12-15 20:25:07,FALSE,NA,941766088680984576,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",1,FALSE,FALSE,NA,NA
"Marco Rubio confirms he will suppor ax bill h ps://t.co/5WXPexa2Nk",FALSE,4,NA,2017-12-15 19:40:12,FALSE,NA,941754785304375296,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",3,FALSE,FALSE,NA,NA
"How o create shareholder value in he bitcoin mania h ps://t.co/HxvmyFNalz h ps://t.co/iOflKg3DeQ",FALSE,12,NA,2017-12-15 18:54:31,FALSE,NA,941743290625470464,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForexLive",5,FALSE,FALSE,NA,NA
"@prtscn I hink you're onto something here",FALSE,1,"prtscn",2017-12-15 18:38:39,FALSE,941703945881190400,941739297304084480,21519259,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ForexLive",0,FALSE,FALSE,NA,NA
"USD/CAD erases Thursday's decline. What's nex h ps://t.co/9LdOpctKwA",FALSE,2,NA,2017-12-15 18:20:54,FALSE,NA,941734827920973824,NA,"<a href=""http://www.forexlive.com"" rel=""nofollow"">ForexLive Tweets</a>","ForexLive",0,FALSE,FALSE,NA,NA
