"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Pre-Christmas suicide bombing a Pakistan church kills a leas 9 h ps://t.co/fURGwko36n",FALSE,24,NA,2017-12-17 19:24:06,FALSE,NA,942475508759048192,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",49,FALSE,FALSE,NA,NA
"Trump ransition eam charges Mueller obtained emails improperly, bu legal experts challenge hose claims h ps://t.co/83l9y1Y7ID",FALSE,341,NA,2017-12-17 19:04:34,FALSE,NA,942470595756912640,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",169,FALSE,FALSE,NA,NA
"Opinion | Distinguished pol: He migh have been he difference in Alabama h ps://t.co/P05PZtcfzd",FALSE,73,NA,2017-12-17 18:28:12,FALSE,NA,942461441168281600,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",18,FALSE,FALSE,NA,NA
"GOP, with ax bill finalized, makes its case o a skeptical public h ps://t.co/c2b6wEg5Yj",FALSE,101,NA,2017-12-17 17:54:25,FALSE,NA,942452941256052736,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",91,FALSE,FALSE,NA,NA
"""Hope you ge your neck snapped"": Anthony Barr shares hate mail over Aaron Rodgers hi h ps://t.co/QQbN77QCfW",FALSE,55,NA,2017-12-17 17:18:02,FALSE,NA,942443784578707456,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",24,FALSE,FALSE,NA,NA
"Putin phoned Trump o hank him for CIA intel ha foiled a planned erroris a ack in Russia, he Kremlin says h ps://t.co/UoXQbIjeWx",FALSE,313,NA,2017-12-17 17:03:37,FALSE,NA,942440157059436544,NA,"<a href=""http://www.washingtonpost.com"" rel=""nofollow"">MainRevere</a>","washingtonpost",298,FALSE,FALSE,NA,NA
"Perspective: Trump labor advisers plan for cu ing federal compensation, potentially even paid holidays h ps://t.co/OLCXFWAyPV",FALSE,185,NA,2017-12-17 16:52:36,FALSE,NA,942437384351862784,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",212,FALSE,FALSE,NA,NA
"Cancer clinical rials exclude many desperate patients. Should ha change? h ps://t.co/fbkBgz5v62",FALSE,96,NA,2017-12-17 16:19:36,FALSE,NA,942429077822111744,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",54,FALSE,FALSE,NA,NA
"To escape heir debts, refugees return o he war zone of Somalia h ps://t.co/jYClUu9dQV",FALSE,86,NA,2017-12-17 15:42:37,FALSE,NA,942419770367934464,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",77,FALSE,FALSE,NA,NA
"On SNL, Trumps White House celebrates Christmas by remembering he ""haters and losers"" h ps://t.co/vDqr8OBuZe",FALSE,447,NA,2017-12-17 15:11:02,FALSE,NA,942411822807863296,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",181,FALSE,FALSE,NA,NA
"Mueller unlawfully obtained emails, Trump ransition eam says h ps://t.co/PgCcpZysoQ",FALSE,284,NA,2017-12-17 14:52:15,FALSE,NA,942407096179609600,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",154,FALSE,FALSE,NA,NA
"A new film captures North Koreas ""bold and audacious"" millennials h ps://t.co/s2TGpj0JlX",FALSE,163,NA,2017-12-17 14:19:06,FALSE,NA,942398752819761152,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",79,FALSE,FALSE,NA,NA
"Two dogs mauled heir owner o death while she was walking hem in he woods, sheriff says h ps://t.co/bGE2QzEslL",FALSE,78,NA,2017-12-17 13:47:06,FALSE,NA,942390702578728960,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",69,FALSE,FALSE,NA,NA
"Billionaire philanthropists found dead in basemen under ""suspicious"" circumstances, police say h ps://t.co/5yBA1k7uQI",FALSE,104,NA,2017-12-17 13:18:03,FALSE,NA,942383388488499200,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",80,FALSE,FALSE,NA,NA
"Yes, hats a monkey grinding on op of a deer h ps://t.co/jnYAsohvrQ",FALSE,112,NA,2017-12-17 12:49:07,FALSE,NA,942376106950381568,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",38,FALSE,FALSE,NA,NA
"An SNL cas member go a Hillary Clinton a oo on his leg. She says shes ""honored."" h ps://t.co/kDmhXHKpsj",FALSE,467,NA,2017-12-17 12:21:16,FALSE,NA,942369099115528192,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",71,FALSE,FALSE,NA,NA
"""We feel like our system was hijacked"": DEA agents say a huge opioid case ended in a whimper h ps://t.co/QQyghcZ3An",FALSE,303,NA,2017-12-17 11:06:12,FALSE,NA,942350207479681024,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",227,FALSE,FALSE,NA,NA
"Perspective: If you miss Gawker, don le Peter Thiel buy its archives h ps://t.co/gD8RBywLQv",FALSE,93,NA,2017-12-17 10:08:54,FALSE,NA,942335788381073408,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",55,FALSE,FALSE,NA,NA
"Perspective: 25 years later, Dr. Dres ""The Chronic"" remains raps world-building masterpiece h ps://t.co/rqJB33RwSk",FALSE,368,NA,2017-12-17 09:32:34,FALSE,NA,942326645603688448,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",124,FALSE,FALSE,NA,NA
"Is i all feeling like oo much? Here are 4 alternatives o a mountain of oys. h ps://t.co/gYSgjDS0dn",FALSE,47,NA,2017-12-17 08:55:10,FALSE,NA,942317232968912896,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",19,FALSE,FALSE,NA,NA
"Perspective: Parents, he holidays are ou of control. Heres how o rein in he excess. h ps://t.co/WS9rjEIaMg",FALSE,67,NA,2017-12-17 08:24:55,FALSE,NA,942309620193865728,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",26,FALSE,FALSE,NA,NA
"SNL cold open: Trumps White House celebrates Christmas by remembering he haters and losers h ps://t.co/w588vSmite",FALSE,310,NA,2017-12-17 07:51:11,FALSE,NA,942301129949446144,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",113,FALSE,FALSE,NA,NA
"Eating oo much sugar can hur your health, and for some its actually addictive h ps://t.co/0JnPiI8gZm",FALSE,197,NA,2017-12-17 07:21:21,FALSE,NA,942293625182064640,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",119,FALSE,FALSE,NA,NA
"""Call Me By Your Name"" is among he bes movies of he year h ps://t.co/XMEgxTe0TE",FALSE,250,NA,2017-12-17 06:48:28,FALSE,NA,942285349132361728,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",46,FALSE,FALSE,NA,NA
"Stars and planets can be seen in high-res a big new planetarium h ps://t.co/blgsm8XjWD",FALSE,265,NA,2017-12-17 06:18:23,FALSE,NA,942277776413003776,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",77,FALSE,FALSE,NA,NA
"Opinion: All men should be facing he mirror on sexual harassmen h ps://t.co/1wTz2qlhEY",FALSE,681,NA,2017-12-17 05:44:56,FALSE,NA,942269361569648640,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",237,FALSE,FALSE,NA,NA
"11 misconceptions abou paying for college h ps://t.co/OZD9WvtP5l",FALSE,102,NA,2017-12-17 05:14:01,FALSE,NA,942261578279333888,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",37,FALSE,FALSE,NA,NA
"Chile is a Latin American success story, so why are voters so unhappy? h ps://t.co/VlT208kpNP",FALSE,92,NA,2017-12-17 04:40:17,FALSE,NA,942253087808516096,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",58,FALSE,FALSE,NA,NA
"The 10 bes journalism movies: Katie Couric, Woodward and Bernstein, Chris Ma hews and more weigh in on wha hese h ps://t.co/bu56Ivo1p5",FALSE,353,NA,2017-12-17 04:07:35,TRUE,NA,942244859791986688,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",153,FALSE,FALSE,NA,NA
"The link between autism and older parents is clear, bu he why is no h ps://t.co/09m9U3JzdY",FALSE,181,NA,2017-12-17 03:30:42,FALSE,NA,942235580494221312,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",94,FALSE,FALSE,NA,NA
"U.S. authorities wan a former Nazi labor camp guard, 94, ou of he country before he dies h ps://t.co/6ISW8QnVio",FALSE,118,NA,2017-12-17 03:00:03,FALSE,NA,942227864824541184,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",60,FALSE,FALSE,NA,NA
"Head of Pentagons secre ""UFO"" office quietly arranged o secure he release of hree of he mos unusual videos i h ps://t.co/ydAzYwyYCb",FALSE,1609,NA,2017-12-17 02:41:05,TRUE,NA,942223092071436288,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",842,FALSE,FALSE,NA,NA
"Words banned by Trump administration a multiple Health and Human Services divisions include ""diversity"" and ""vulne h ps://t.co/dQ9rh6cew1",FALSE,303,NA,2017-12-17 02:22:44,TRUE,NA,942218476189573120,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",342,FALSE,FALSE,NA,NA
