"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Could a ""Game of Thrones"" ice wall exist in real life? https://t.co/2Mn35Nyagh",FALSE,67,NA,2017-12-18 00:19:22,FALSE,NA,"942549817305321473",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",25,FALSE,FALSE,NA,NA
"Mario Batali tells fans he’s ‘so very sorry’ for sexual misconduct. P.S.: Cinnamon rolls! https://t.co/q5ZJfFakKW",FALSE,96,NA,2017-12-17 23:44:01,FALSE,NA,"942540920884551680",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",27,FALSE,FALSE,NA,NA
"Paris, the home of the svelte, is cracking down on fat shaming https://t.co/tUkxy53SH9",FALSE,131,NA,2017-12-17 23:31:44,FALSE,NA,"942537828491317249",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",44,FALSE,FALSE,NA,NA
"Stephen Strasburg blames all-star game for landing him on disabled list, may skip next time https://t.co/WZGyqPt7Gl",FALSE,28,NA,2017-12-17 22:59:05,FALSE,NA,"942529610109083648",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",14,FALSE,FALSE,NA,NA
"The Jangmadang Generation: New film shows how millennials are changing North Korea. https://t.co/90MC3y1Beg",FALSE,134,NA,2017-12-17 22:55:05,FALSE,NA,"942528604524687360",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",53,FALSE,FALSE,NA,NA
"""Star Wars: The Last Jedi"" forces its way to the second-biggest domestic opening ever https://t.co/sgvA4NZNYq",FALSE,182,NA,2017-12-17 22:19:19,FALSE,NA,"942519602994696192",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",53,FALSE,FALSE,NA,NA
"""Washington Redhawks"" group holds rally to promote Redskins name change https://t.co/TQmnI7neQd",FALSE,295,NA,2017-12-17 21:45:17,FALSE,NA,"942511039022813185",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",88,FALSE,FALSE,NA,NA
"Opinion | The final straw: Rupert Murdoch needs to go https://t.co/RY2Q7i3WOv",FALSE,685,NA,2017-12-17 21:30:28,FALSE,NA,"942507311154778114",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",331,FALSE,FALSE,NA,NA
"""A Jedi You Are NOT"": Mark Hamill slams light saber-wielding FCC chairman over net neutrality https://t.co/IovgBqj6m1",FALSE,1043,NA,2017-12-17 20:57:28,FALSE,NA,"942499005602435072",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",325,FALSE,FALSE,NA,NA
"A first-grade class wrote letters to Santa. One girl asked for food and a blanket. https://t.co/VqtACQXLhl",FALSE,476,NA,2017-12-17 20:26:05,FALSE,NA,"942491109766434823",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",400,FALSE,FALSE,NA,NA
"Power outage disrupts flights to Atlanta’s Hartsfield-Jackson Airport https://t.co/UYh9ZvKSmR",FALSE,55,NA,2017-12-17 20:15:37,FALSE,NA,"942488474275516416",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",53,FALSE,FALSE,NA,NA
"D.C.-area forecast: Warming up through Tuesday, then temperatures take a step back https://t.co/t2XtGJKtcF",FALSE,46,NA,2017-12-17 19:56:18,FALSE,NA,"942483611860832258",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",14,FALSE,FALSE,NA,NA
"Pre-Christmas suicide bombing at Pakistan church kills at least 9 https://t.co/fURGwko36n",FALSE,71,NA,2017-12-17 19:24:06,FALSE,NA,"942475508759048193",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",119,FALSE,FALSE,NA,NA
"Trump transition team charges Mueller obtained emails improperly, but legal experts challenge those claims https://t.co/83l9y1Y7ID",FALSE,747,NA,2017-12-17 19:04:34,FALSE,NA,"942470595756912642",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",349,FALSE,FALSE,NA,NA
"Opinion | Distinguished pol: He might have been the difference in Alabama https://t.co/P05PZtcfzd",FALSE,89,NA,2017-12-17 18:28:12,FALSE,NA,"942461441168281600",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",21,FALSE,FALSE,NA,NA
"GOP, with tax bill finalized, makes its case to a skeptical public https://t.co/c2b6wEg5Yj",FALSE,125,NA,2017-12-17 17:54:25,FALSE,NA,"942452941256052736",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",113,FALSE,FALSE,NA,NA
"""Hope you get your neck snapped"": Anthony Barr shares hate mail over Aaron Rodgers hit https://t.co/QQbN77QCfW",FALSE,55,NA,2017-12-17 17:18:02,FALSE,NA,"942443784578707456",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",27,FALSE,FALSE,NA,NA
"Putin phoned Trump to thank him for CIA intel that foiled a planned terrorist attack in Russia, the Kremlin says https://t.co/UoXQbIjeWx",FALSE,344,NA,2017-12-17 17:03:37,FALSE,NA,"942440157059436549",NA,"<a href=""http://www.washingtonpost.com"" rel=""nofollow"">MainRevere</a>","washingtonpost",335,FALSE,FALSE,NA,NA
"Perspective: Trump labor adviser’s plan for cutting federal compensation, potentially even paid holidays https://t.co/OLCXFWAyPV",FALSE,208,NA,2017-12-17 16:52:36,FALSE,NA,"942437384351862784",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",259,FALSE,FALSE,NA,NA
"Cancer clinical trials exclude many desperate patients. Should that change? https://t.co/fbkBgz5v62",FALSE,98,NA,2017-12-17 16:19:36,FALSE,NA,"942429077822111750",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",60,FALSE,FALSE,NA,NA
"To escape their debts, refugees return to the war zone of Somalia https://t.co/jYClUu9dQV",FALSE,89,NA,2017-12-17 15:42:37,FALSE,NA,"942419770367934464",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",83,FALSE,FALSE,NA,NA
"On SNL, Trump’s White House celebrates Christmas by remembering the ""haters and losers"" https://t.co/vDqr8OBuZe",FALSE,468,NA,2017-12-17 15:11:02,FALSE,NA,"942411822807863296",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",187,FALSE,FALSE,NA,NA
"Mueller unlawfully obtained emails, Trump transition team says https://t.co/PgCcpZysoQ",FALSE,323,NA,2017-12-17 14:52:15,FALSE,NA,"942407096179609606",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",170,FALSE,FALSE,NA,NA
"A new film captures North Korea’s ""bold and audacious"" millennials https://t.co/s2TGpj0JlX",FALSE,166,NA,2017-12-17 14:19:06,FALSE,NA,"942398752819761152",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",82,FALSE,FALSE,NA,NA
"Two dogs mauled their owner to death while she was walking them in the woods, sheriff says https://t.co/bGE2QzEslL",FALSE,81,NA,2017-12-17 13:47:06,FALSE,NA,"942390702578728960",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",72,FALSE,FALSE,NA,NA
"Billionaire philanthropists found dead in basement under ""suspicious"" circumstances, police say https://t.co/5yBA1k7uQI",FALSE,106,NA,2017-12-17 13:18:03,FALSE,NA,"942383388488499200",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",82,FALSE,FALSE,NA,NA
"Yes, that’s a monkey grinding on top of a deer https://t.co/jnYAsohvrQ",FALSE,113,NA,2017-12-17 12:49:07,FALSE,NA,"942376106950381568",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",38,FALSE,FALSE,NA,NA
"An SNL cast member got a Hillary Clinton tattoo on his leg. She says she’s ""honored."" https://t.co/kDmhXHKpsj",FALSE,488,NA,2017-12-17 12:21:16,FALSE,NA,"942369099115528194",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",78,FALSE,FALSE,NA,NA
"""We feel like our system was hijacked"": DEA agents say a huge opioid case ended in a whimper https://t.co/QQyghcZ3An",FALSE,323,NA,2017-12-17 11:06:12,FALSE,NA,"942350207479681024",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",247,FALSE,FALSE,NA,NA
"Perspective: If you miss Gawker, don’t let Peter Thiel buy its archives https://t.co/gD8RBywLQv",FALSE,94,NA,2017-12-17 10:08:54,FALSE,NA,"942335788381073408",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",56,FALSE,FALSE,NA,NA
"Perspective: 25 years later, Dr. Dre’s ""The Chronic"" remains rap’s world-building masterpiece https://t.co/rqJB33RwSk",FALSE,394,NA,2017-12-17 09:32:34,FALSE,NA,"942326645603688448",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",130,FALSE,FALSE,NA,NA
"Is it all feeling like too much? Here are 4 alternatives to a mountain of toys. https://t.co/gYSgjDS0dn",FALSE,49,NA,2017-12-17 08:55:10,FALSE,NA,"942317232968912897",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",21,FALSE,FALSE,NA,NA
"Perspective: Parents, the holidays are out of control. Here’s how to rein in the excess. https://t.co/WS9rjEIaMg",FALSE,68,NA,2017-12-17 08:24:55,FALSE,NA,"942309620193865728",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",26,FALSE,FALSE,NA,NA
"SNL cold open: Trump’s White House celebrates Christmas by remembering the ‘haters and losers’ https://t.co/w588vSmite",FALSE,319,NA,2017-12-17 07:51:11,FALSE,NA,"942301129949446144",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",116,FALSE,FALSE,NA,NA
"Eating too much sugar can hurt your health, and for some it’s actually addictive https://t.co/0JnPiI8gZm",FALSE,202,NA,2017-12-17 07:21:21,FALSE,NA,"942293625182064640",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",123,FALSE,FALSE,NA,NA
"""Call Me By Your Name"" is among the best movies of the year https://t.co/XMEgxTe0TE",FALSE,253,NA,2017-12-17 06:48:28,FALSE,NA,"942285349132361728",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",48,FALSE,FALSE,NA,NA
"Stars and planets can be seen in high-res at big new planetarium https://t.co/blgsm8XjWD",FALSE,267,NA,2017-12-17 06:18:23,FALSE,NA,"942277776413003777",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",78,FALSE,FALSE,NA,NA
"Opinion: All men should be facing the mirror on sexual harassment https://t.co/1wTz2qlhEY",FALSE,738,NA,2017-12-17 05:44:56,FALSE,NA,"942269361569648640",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",259,FALSE,FALSE,NA,NA
"11 misconceptions about paying for college https://t.co/OZD9WvtP5l",FALSE,103,NA,2017-12-17 05:14:01,FALSE,NA,"942261578279333888",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",38,FALSE,FALSE,NA,NA
"Chile is a Latin American success story, so why are voters so unhappy? https://t.co/VlT208kpNP",FALSE,92,NA,2017-12-17 04:40:17,FALSE,NA,"942253087808516096",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",60,FALSE,FALSE,NA,NA
"The 10 best journalism movies: Katie Couric, Woodward and Bernstein, Chris Matthews and more weigh in on what these… https://t.co/bu56Ivo1p5",FALSE,372,NA,2017-12-17 04:07:35,TRUE,NA,"942244859791986688",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",165,FALSE,FALSE,NA,NA
"The link between autism and older parents is clear, but the why is not https://t.co/09m9U3JzdY",FALSE,183,NA,2017-12-17 03:30:42,FALSE,NA,"942235580494221312",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",97,FALSE,FALSE,NA,NA
"U.S. authorities want a former Nazi labor camp guard, 94, out of the country before he dies https://t.co/6ISW8QnVio",FALSE,123,NA,2017-12-17 03:00:03,FALSE,NA,"942227864824541184",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",63,FALSE,FALSE,NA,NA
"Head of Pentagon’s secret ""UFO"" office quietly arranged to secure the release of three of the most unusual videos i… https://t.co/ydAzYwyYCb",FALSE,1720,NA,2017-12-17 02:41:05,TRUE,NA,"942223092071436289",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",910,FALSE,FALSE,NA,NA
"Words banned by Trump administration at multiple Health and Human Services divisions include ""diversity"" and ""vulne… https://t.co/dQ9rh6cew1",FALSE,332,NA,2017-12-17 02:22:44,TRUE,NA,"942218476189573120",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","washingtonpost",367,FALSE,FALSE,NA,NA
