"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Tesla Leads 5 Stocks To Watch At Intersection Of Cars And Technology https://t.co/wedtBoPRiY $TSLA $GM $F $INTC… https://t.co/AR3mmkoMyL",FALSE,4,NA,2017-12-17 18:45:51,TRUE,NA,"942465882256822273",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",3,FALSE,FALSE,NA,NA
"Heat up your portfolio with MarketSmith, only $29.95. Now with a free gift for the holidays! Act NOW!… https://t.co/RhM19uGCH8",FALSE,0,NA,2017-12-17 16:01:03,TRUE,NA,"942424411868745728",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",0,FALSE,FALSE,NA,NA
"On the 6th day of #12DaysofDeals #InvestorsBusinessDaily gave to me... https://t.co/jtLfdvCwTs https://t.co/DCCl504uEg",FALSE,0,NA,2017-12-17 15:00:58,FALSE,NA,"942409290362638336",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",0,FALSE,FALSE,NA,NA
"#HolidayHomeStudy Sale! Save up to $500 and Enjoy FREE Shipping on IBD Home Study Programs. Shop NOW!… https://t.co/rJlfrj2lI4",FALSE,0,NA,2017-12-17 15:00:57,TRUE,NA,"942409285463625728",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",0,FALSE,FALSE,NA,NA
"Join a free MarketSmith webinar “Using Technical Analysis to Identify Sell Points” on Tuesday, December 19 at 12pm… https://t.co/qazKKCm0A9",FALSE,2,NA,2017-12-17 15:00:53,TRUE,NA,"942409267549802501",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",1,FALSE,FALSE,NA,NA
"We're on the hunt to connect w/ social influencers in the financial community for new sponsorship opportunities! In… https://t.co/CE6FCpXjy9",FALSE,0,NA,2017-12-17 15:00:52,TRUE,NA,"942409266102767617",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",0,FALSE,FALSE,NA,NA
"CSX CEO Hunter Harrison has died, two days after taking an unexpected medical leave. https://t.co/l3syiVLMpR $CSX https://t.co/ZZhhhmUOyC",FALSE,10,NA,2017-12-16 21:42:44,FALSE,NA,"942148008661143553",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",10,FALSE,FALSE,NA,NA
"Heat up your portfolio with MarketSmith, only $29.95. Now with a free gift for the holidays! Act NOW!… https://t.co/dy1MTbs3q2",FALSE,0,NA,2017-12-16 20:01:01,TRUE,NA,"942122413449515008",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",1,FALSE,FALSE,NA,NA
"Heat up your portfolio with MarketSmith, only $29.95. Now with a free gift for the holidays! Act NOW!… https://t.co/SUMeOr2y24",FALSE,1,NA,2017-12-16 16:01:09,TRUE,NA,"942062046715285504",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",0,FALSE,FALSE,NA,NA
"Apple Just Carved A Base; These 3 Dow Stocks Are New Buys https://t.co/Gp01ehxcdw $AAPL $MSFT $DIS $PFE $LMT https://t.co/RUQFPhG8VG",FALSE,5,NA,2017-12-16 15:06:08,FALSE,NA,"942048203884646401",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",9,FALSE,FALSE,NA,NA
"Join a free MarketSmith webinar “Using Technical Analysis to Identify Sell Points” on Tuesday, December 19 at 12pm… https://t.co/Sfj2UAhW4W",FALSE,4,NA,2017-12-16 15:01:14,TRUE,NA,"942046970776039424",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","IBDinvestors",2,FALSE,FALSE,NA,NA
