"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"What will life be like for LiAngelo, LaMelo? Lithuanian league players share their experience. https://t.co/30919BYdkE",FALSE,6,NA,2017-12-17 19:20:04,FALSE,NA,"942474493070626816",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",3,FALSE,FALSE,NA,NA
"These seven words are banned from official CDC documents. https://t.co/PXTjaVcTwS",FALSE,26,NA,2017-12-17 19:10:06,FALSE,NA,"942471985757646848",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",27,FALSE,FALSE,NA,NA
"'Star Wars: The Last Jedi' explodes with $220M, the second-best opening ever https://t.co/XhKf7ie0Jj",FALSE,73,NA,2017-12-17 18:58:09,FALSE,NA,"942468977812324352",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",32,FALSE,FALSE,NA,NA
"Putin thanked Trump for CIA tip on bombings, Kremlin and White House say https://t.co/3B2UyyP4ld",FALSE,32,NA,2017-12-17 18:58:07,FALSE,NA,"942468972544368640",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",24,FALSE,FALSE,NA,NA
"""Man flu"" is now a thing. We’re not so sure about it . https://t.co/RRSxLgGiiJ",FALSE,32,NA,2017-12-17 18:20:04,FALSE,NA,"942459393190383621",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",14,FALSE,FALSE,NA,NA
"Putin called Trump to thank him for CIA tip that thwarted bombings in Russia, the Kremlin and White House say https://t.co/aqhO0mNR7M",FALSE,118,NA,2017-12-17 17:43:09,FALSE,NA,"942450106426519554",NA,"<a href=""http://www.usatoday.com"" rel=""nofollow"">USA TODAY Breaking News</a>","USATODAY",67,FALSE,FALSE,NA,NA
"Thanks, but no thanks. https://t.co/hvkgBuxwJb",FALSE,110,NA,2017-12-17 17:40:08,FALSE,NA,"942449347010187265",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",43,FALSE,FALSE,NA,NA
"Hundreds get sick on Royal Caribbean cruise — again https://t.co/pF1DQynYNT",FALSE,50,NA,2017-12-17 16:54:53,FALSE,NA,"942437957025243141",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",44,FALSE,FALSE,NA,NA
"Bengals coach Marvin Lewis won't return next year https://t.co/5dOjwiXUqp",FALSE,26,NA,2017-12-17 16:54:51,FALSE,NA,"942437951421554688",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",14,FALSE,FALSE,NA,NA
"Cincinnati Bengals coach Marvin Lewis won't return to coach team next season https://t.co/lyK9ncj8L5",FALSE,30,NA,2017-12-17 15:36:50,FALSE,NA,"942418315871379456",NA,"<a href=""http://www.usatoday.com"" rel=""nofollow"">USA TODAY Breaking News</a>","USATODAY",18,FALSE,FALSE,NA,NA
"Chevrolet unveils 2019 Silverado pickup -- and it's all about steel https://t.co/tHw0dApeET",FALSE,46,NA,2017-12-17 14:54:05,FALSE,NA,"942407555971612672",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",13,FALSE,FALSE,NA,NA
"Surprised? https://t.co/cIPDIJpMEn",FALSE,43,NA,2017-12-17 13:40:06,FALSE,NA,"942388939553476608",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",25,FALSE,FALSE,NA,NA
"The Thomas Fire is now the second largest in California history. The cost of fighting the fire now stands at $110 m… https://t.co/abHOy8L9EO",FALSE,50,NA,2017-12-17 13:00:33,TRUE,NA,"942378984771289088",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",74,FALSE,FALSE,NA,NA
"How white nationalists tapped into decades of pent-up racism to spark a movement https://t.co/qPQnC6o65G",FALSE,69,NA,2017-12-17 12:54:05,FALSE,NA,"942377358211694592",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",60,FALSE,FALSE,NA,NA
"Social media blasts Kevin Hart's 'sexist' 'Saturday Night Live' monologue https://t.co/ussLRousvM",FALSE,69,NA,2017-12-17 12:54:03,FALSE,NA,"942377350439694337",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",30,FALSE,FALSE,NA,NA
"The ""alt-right"" movement didn't happen overnight https://t.co/0ZDeiwQWVU",FALSE,58,NA,2017-12-17 12:04:45,FALSE,NA,"942364941490716672",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",40,FALSE,FALSE,NA,NA
"Police say the two men stole the woman's money and told the kids they were leaving to go buy soda, leaving the woma… https://t.co/w71b9xRstv",FALSE,23,NA,2017-12-17 12:00:21,TRUE,NA,"942363835792576512",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",19,FALSE,FALSE,NA,NA
"Extra charges for Facebook and YouTube? We deem it highly unlikely. https://t.co/88JoYcOq7R",FALSE,29,NA,2017-12-17 11:00:18,FALSE,NA,"942348722863837185",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",6,FALSE,FALSE,NA,NA
"Surveillance cams, face scans help China make thousands vanish https://t.co/ZDdjxzm5v6",FALSE,38,NA,2017-12-17 10:49:57,FALSE,NA,"942346120600076288",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",40,FALSE,FALSE,NA,NA
"TV tonight: 'A Christmas Story' returns as a live musical https://t.co/psgSTAtACE",FALSE,76,NA,2017-12-17 10:49:56,FALSE,NA,"942346116464484353",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",26,FALSE,FALSE,NA,NA
"Nevada Rep. Ruben Kihuen won't seek re-election amid sex harassment allegations https://t.co/MgsdNyDvZJ",FALSE,26,NA,2017-12-17 10:49:55,FALSE,NA,"942346112274276352",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",20,FALSE,FALSE,NA,NA
"When it comes to clients, go big, entrepreneurs https://t.co/eGFemgfEb2",FALSE,20,NA,2017-12-17 10:49:54,FALSE,NA,"942346108235218945",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",8,FALSE,FALSE,NA,NA
"Although there were boos, the New York fans gave Anthony a warm welcome for the most part during his introduction... https://t.co/sXXt3Iwne3",FALSE,39,NA,2017-12-17 08:00:25,FALSE,NA,"942303453388378112",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",11,FALSE,FALSE,NA,NA
"No way will @OMAROSA be denied https://t.co/a5EdoFWYYR",FALSE,105,NA,2017-12-17 07:15:50,FALSE,NA,"942292237177835520",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",35,FALSE,FALSE,NA,NA
"Americans see more jingle and less Jesus this holiday season. https://t.co/Wui2LAgKdM",FALSE,61,NA,2017-12-17 07:00:22,FALSE,NA,"942288344603611136",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",35,FALSE,FALSE,NA,NA
"Dramatic drop https://t.co/z6h5mb3wua",FALSE,72,NA,2017-12-17 06:30:06,FALSE,NA,"942280727219105792",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",33,FALSE,FALSE,NA,NA
"These are the 5 worst cities for black Americans https://t.co/Juyp1WLl2K",FALSE,65,NA,2017-12-17 06:21:06,FALSE,NA,"942278460247982081",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","USATODAY",57,FALSE,FALSE,NA,NA
"Chevrolet has touted this car as stronger and more durable in comparison to Ford's F-150, which is made of aluminum. https://t.co/M077wFAHCv",FALSE,27,NA,2017-12-17 06:00:14,FALSE,NA,"942273210749456384",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",7,FALSE,FALSE,NA,NA
"The proposal is intended to save lives, a County Board of Supervisors member said, but an expert in Amish culture s… https://t.co/yD8geOoT9z",FALSE,44,NA,2017-12-17 05:45:03,TRUE,NA,"942269388199223297",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",49,FALSE,FALSE,NA,NA
"Fake reindeer antlers on your car are eating up gas. https://t.co/ELjiQYPLmY",FALSE,53,NA,2017-12-17 05:25:02,FALSE,NA,"942264351922237440",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",38,FALSE,FALSE,NA,NA
"Here's what holds back women entrepreneurs. Our @RhondaAbrams talks with @SenatorShaheen of New Hampshire https://t.co/UGpRT27mxv",FALSE,29,NA,2017-12-17 05:11:48,FALSE,NA,"942261023058391040",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","USATODAY",18,FALSE,FALSE,NA,NA
