"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Exchange giant CME set to launch bitcoin futures after rival Cboe stumbles https://t.co/27S6N6fdmD via @aosipovich @GunjanJS",FALSE,2,NA,2017-12-17 19:20:03,FALSE,NA,"942474491820638210",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",4,FALSE,FALSE,NA,NA
"Wall Street’s top regulator raises alarms about the money flooding into bitcoin, other cryptocurrency markets… https://t.co/GoNLsmmaGk",FALSE,4,NA,2017-12-17 19:03:04,TRUE,NA,"942470214729551872",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",2,FALSE,FALSE,NA,NA
"Why OPEC doesn’t want oil prices to go over $65 a barrel  https://t.co/7bTz4AnH0S via @benoitfaucon",FALSE,3,NA,2017-12-17 18:45:02,FALSE,NA,"942465676400300033",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",3,FALSE,FALSE,NA,NA
"Beau Taylor’s commodity hedge fund Madava Asset Management to close by year end  https://t.co/5sWQjBqHQ0 via @StephanieAYang",FALSE,0,NA,2017-12-17 18:35:05,FALSE,NA,"942463175131353094",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",0,FALSE,FALSE,NA,NA
"P&amp;G concedes proxy fight, adds Nelson Peltz to board  https://t.co/2o4QfU9I9G",FALSE,7,NA,2017-12-17 18:10:05,FALSE,NA,"942456884082200576",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",7,FALSE,FALSE,NA,NA
"Retirement income without the downside? Fixed indexed annuities can do some good things, but they aren’t as good as… https://t.co/Ci479KBBdQ",FALSE,4,NA,2017-12-17 17:50:03,TRUE,NA,"942451841094184960",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",5,FALSE,FALSE,NA,NA
"With this week’s launch of bitcoin futures, a new danger to worry about: The threat of manipulation involving futur… https://t.co/RqXkU6Z5ju",FALSE,13,NA,2017-12-17 17:24:06,TRUE,NA,"942445310583992322",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",9,FALSE,FALSE,NA,NA
"New tax plan looms like a ‘dagger’ over New York City, critics say https://t.co/CQdKW6bLfF",FALSE,5,NA,2017-12-17 17:10:04,FALSE,NA,"942441780229935110",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",7,FALSE,FALSE,NA,NA
"Silver Lake, pioneer tech investor, in backing Broadcom’s hostile $105 billion bid, is breaking from norm… https://t.co/Rx0qM4WcYC",FALSE,2,NA,2017-12-17 16:35:03,TRUE,NA,"942432966671728643",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",8,FALSE,FALSE,NA,NA
"Deutsche Bank was asked for information on transactions potentially linked to Mike Flynn https://t.co/FrKOUrVOYf via @jennystrasburg",FALSE,3,NA,2017-12-17 16:20:02,FALSE,NA,"942429189042515968",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",6,FALSE,FALSE,NA,NA
"What does the GOP tax plan mean for your favorite tax breaks? Answers on alimony, medical expenses and more https://t.co/xLsLY34jH9",FALSE,2,NA,2017-12-17 16:05:05,FALSE,NA,"942425427167064064",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",4,FALSE,FALSE,NA,NA
"A 35-year old former banker is trying to modernize the world’s oldest exchange for trading industrial metals… https://t.co/tTpENrzPYJ",FALSE,7,NA,2017-12-17 15:50:06,TRUE,NA,"942421653715390464",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",6,FALSE,FALSE,NA,NA
"Business is booming for discount brokerages, and not because of day traders https://t.co/z9HtEEwB6z via @LisaBeilfuss",FALSE,4,NA,2017-12-17 15:35:14,FALSE,NA,"942417912576512001",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",5,FALSE,FALSE,NA,NA
"Big U.S. property-casualty insurers succeeded in closing what they say is a loophole permitting rivals to rack up p… https://t.co/Tg2dUoo5LQ",FALSE,2,NA,2017-12-17 15:20:07,TRUE,NA,"942414109374648321",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",4,FALSE,FALSE,NA,NA
"The near-doubling of the standard deduction will make filing easy for millions, but the business-rate cut opens the… https://t.co/bQ8fMJ9XMj",FALSE,3,NA,2017-12-17 15:05:05,TRUE,NA,"942410327483977729",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",4,FALSE,FALSE,NA,NA
"Lawmakers cut a controversial tax provision that would have forced investors to unload their oldest shares first wh… https://t.co/SeXbfzRavE",FALSE,1,NA,2017-12-17 14:50:03,TRUE,NA,"942406540987858945",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",4,FALSE,FALSE,NA,NA
"2017 was the Year of the Turkey for  Chinese IPOs in the U.S.  https://t.co/XyFlslh37W via @srussolillo @cdriebusch",FALSE,3,NA,2017-12-17 14:36:23,FALSE,NA,"942403105194496000",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",5,FALSE,FALSE,NA,NA
"Who's driving the price of bitcoin higher? It is Japanese men, according to Deutsche Bank https://t.co/aOMKjpnGSw via @srussolillo",FALSE,7,NA,2017-12-17 14:20:03,FALSE,NA,"942398992255766530",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",7,FALSE,FALSE,NA,NA
"Exchange giant CME set to launch bitcoin futures after rival Cboe stumbles https://t.co/9dpetL1SR1 via @aosipovich @GunjanJS",FALSE,7,NA,2017-12-17 13:50:04,FALSE,NA,"942391448674193408",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",11,FALSE,FALSE,NA,NA
"With this week’s launch of bitcoin futures, a new danger to worry about: The threat of manipulation involving futur… https://t.co/Zi9v4RGpOq",FALSE,7,NA,2017-12-17 12:40:04,TRUE,NA,"942373830118592513",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",12,FALSE,FALSE,NA,NA
"The cost of derivatives that allow European investors to access U.S. dollars has rocketed this week, hitting levels… https://t.co/CLvuBDsi3S",FALSE,4,NA,2017-12-17 12:15:07,TRUE,NA,"942367552738611200",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",9,FALSE,FALSE,NA,NA
"Who's driving the price of bitcoin higher? It is Japanese men, according to Deutsche Bank https://t.co/R0oQfQySfn via @srussolillo",FALSE,19,NA,2017-12-17 11:40:07,FALSE,NA,"942358746344378368",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",17,FALSE,FALSE,NA,NA
"The troubles of Mick Davis, a mining executive behind some of the industry’s biggest mergers, epitomize the sector’… https://t.co/YVlVFvhBam",FALSE,2,NA,2017-12-17 10:15:04,TRUE,NA,"942337342270050304",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",10,FALSE,FALSE,NA,NA
"Why OPEC doesn’t want oil prices to go over $65 a barrel  https://t.co/QDn1We3yEJ via @benoitfaucon",FALSE,6,NA,2017-12-17 08:25:05,FALSE,NA,"942309663034560512",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",11,FALSE,FALSE,NA,NA
"China’s HNA starts bond buyback to ease investor worries  https://t.co/en4eG1ybU0 via @anjani_trivedi",FALSE,1,NA,2017-12-17 07:20:09,FALSE,NA,"942293321459920896",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",8,FALSE,FALSE,NA,NA
"After missing out on Alibaba, Hong Kong is changing its tune to attract planned IPOs like Ant https://t.co/Ba8UypYNiS via @gregorhunter",FALSE,4,NA,2017-12-17 04:45:03,FALSE,NA,"942254290118283266",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",13,FALSE,FALSE,NA,NA
