"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Exchange gian CME se o launch bitcoin futures after rival Cboe stumbles h ps://t.co/27S6N6fdmD via @aosipovich @GunjanJS",FALSE,2,NA,2017-12-17 19:20:03,FALSE,NA,942474491820638208,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",4,FALSE,FALSE,NA,NA
"Wall Streets op regulator raises alarms abou he money flooding into bitcoin, other cryptocurrency markets h ps://t.co/GoNLsmmaGk",FALSE,4,NA,2017-12-17 19:03:04,TRUE,NA,942470214729551872,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",2,FALSE,FALSE,NA,NA
"Why OPEC doesn wan oil prices o go over $65 a barrel h ps://t.co/7bTz4AnH0S via @benoitfaucon",FALSE,3,NA,2017-12-17 18:45:02,FALSE,NA,942465676400300032,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",3,FALSE,FALSE,NA,NA
"Beau Taylors commodity hedge fund Madava Asse Managemen o close by year end h ps://t.co/5sWQjBqHQ0 via @StephanieAYang",FALSE,0,NA,2017-12-17 18:35:05,FALSE,NA,942463175131353088,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",0,FALSE,FALSE,NA,NA
"PG concedes proxy fight, adds Nelson Peltz o board h ps://t.co/2o4QfU9I9G",FALSE,7,NA,2017-12-17 18:10:05,FALSE,NA,942456884082200576,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",7,FALSE,FALSE,NA,NA
"Retiremen income withou he downside? Fixed indexed annuities can do some good hings, bu hey aren as good as h ps://t.co/Ci479KBBdQ",FALSE,4,NA,2017-12-17 17:50:03,TRUE,NA,942451841094184960,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",5,FALSE,FALSE,NA,NA
"With his weeks launch of bitcoin futures, a new danger o worry about: The hrea of manipulation involving futur h ps://t.co/RqXkU6Z5ju",FALSE,13,NA,2017-12-17 17:24:06,TRUE,NA,942445310583992320,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",9,FALSE,FALSE,NA,NA
"New ax plan looms like a dagger over New York City, critics say h ps://t.co/CQdKW6bLfF",FALSE,5,NA,2017-12-17 17:10:04,FALSE,NA,942441780229935104,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",7,FALSE,FALSE,NA,NA
"Silver Lake, pioneer ech investor, in backing Broadcoms hostile $105 billion bid, is breaking from norm h ps://t.co/Rx0qM4WcYC",FALSE,2,NA,2017-12-17 16:35:03,TRUE,NA,942432966671728640,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",8,FALSE,FALSE,NA,NA
"Deutsche Bank was asked for information on ransactions potentially linked o Mike Flynn h ps://t.co/FrKOUrVOYf via @jennystrasburg",FALSE,3,NA,2017-12-17 16:20:02,FALSE,NA,942429189042515968,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",6,FALSE,FALSE,NA,NA
"Wha does he GOP ax plan mean for your favorite ax breaks? Answers on alimony, medical expenses and more h ps://t.co/xLsLY34jH9",FALSE,2,NA,2017-12-17 16:05:05,FALSE,NA,942425427167064064,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",4,FALSE,FALSE,NA,NA
"A 35-year old former banker is rying o modernize he worlds oldes exchange for rading industrial metals h ps://t.co/tTpENrzPYJ",FALSE,7,NA,2017-12-17 15:50:06,TRUE,NA,942421653715390464,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",6,FALSE,FALSE,NA,NA
"Business is booming for discoun brokerages, and no because of day raders h ps://t.co/z9HtEEwB6z via @LisaBeilfuss",FALSE,4,NA,2017-12-17 15:35:14,FALSE,NA,942417912576512000,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",5,FALSE,FALSE,NA,NA
"Big U.S. property-casualty insurers succeeded in closing wha hey say is a loophole permi ing rivals o rack up p h ps://t.co/Tg2dUoo5LQ",FALSE,2,NA,2017-12-17 15:20:07,TRUE,NA,942414109374648320,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",4,FALSE,FALSE,NA,NA
"The near-doubling of he standard deduction will make filing easy for millions, bu he business-rate cu opens he h ps://t.co/bQ8fMJ9XMj",FALSE,3,NA,2017-12-17 15:05:05,TRUE,NA,942410327483977728,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",4,FALSE,FALSE,NA,NA
"Lawmakers cu a controversial ax provision ha would have forced investors o unload heir oldes shares firs wh h ps://t.co/SeXbfzRavE",FALSE,1,NA,2017-12-17 14:50:03,TRUE,NA,942406540987858944,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",4,FALSE,FALSE,NA,NA
"2017 was he Year of he Turkey for Chinese IPOs in he U.S. h ps://t.co/XyFlslh37W via @srussolillo @cdriebusch",FALSE,3,NA,2017-12-17 14:36:23,FALSE,NA,942403105194496000,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",5,FALSE,FALSE,NA,NA
"Who's driving he price of bitcoin higher? I is Japanese men, according o Deutsche Bank h ps://t.co/aOMKjpnGSw via @srussolillo",FALSE,7,NA,2017-12-17 14:20:03,FALSE,NA,942398992255766528,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WSJmarkets",7,FALSE,FALSE,NA,NA
